PAMID,CountryCode,Country,PAM No,Name,Objective,Description,Type of instrument,Primary EU policy responsible objectives,Secondary EU policy responsible objectives,Tertiary EU policy responsible objectives,Related EU policies,Affected GHG,Link to EU Emissions Trading Scheme ETS,Targeted sectors,Status,Start year,End year,Comment on implementation period,Type of implementing entities,Name of implementing entities,Projection scenario in which the PAM is included,Inclusion of estimate in projections,Indicators to monitor and evaluate implementation,2015 total kt CO2 equivalent per year:number,2015 EU ETS kt CO2:number,2015 non ETS kt CO2:number,2020 total kt CO2:number,2020 EU ETS kt CO2:number,2020 non ETS kt CO2:number,2025 total kt CO2:number,2030 total kt CO2:number,Average emission reduction kt CO2,Impact included in another policy or policy package,Other policy or policy package in which the impact is included,Reference source of estimation ,Years for which the reduction applies,Basis for estimate,Factors affected by PAM,Inclusion of savings related to EU policies,Costs in EUR per tonne CO2 equivalent reduced sequestered,Absolute costs per year in EUR,Description _ basis for cost estimate,Documentation _ source of cost estimate,Interaction with other policies and measures at the national or EU level,Details on policy interactions,Non GHG_mitigation benefits,Additional comment,Name or organisation providing information on policy,Check of mandatory reporting,Comments by MS
FR-RES-001,FR,France,1,Réduction de 38 % des consommations d'énergie primaire pour les bâtiments existants entre 2008 et 2020,Amélioration de la performance énergétique des bâtiments,cf. rapport,"Planning, Research, Education, Information, Regulatory, Voluntary/ negotiated agreement, Fiscal, Economic",National policy not related to EU policies,,,National policy not related to EU policies,CO2,"EU ETS, non EU ETS","Energy use - residential, Energy use -Industry / Construction, Energy supply",planned,2008,2020,,Not available,,with additional measures (WAM),,"Consommation finale d'énergie du parc des bâtiments résidentiels (W/m2/an). MEDDE/SOeS, d'après Ceren (Etude ""Suivi du parc et des consommations d'énergie dans le résidentiel"") [voir p. 23 Wahl, Thierry, Guillaume Mordant, et Christophe Poupard. 2012. Tra",,,,,,,,,,,,,,,,,,,,,"yes, with all policies contributing to the improvement of the energy efficiency of building",,lutte contre la précarité énergétique,,,OK,
AT-ENS-001,AT,Austria,01_EN,Emission Trading Scheme,The objective is to limit the CO2 emissions of large power plants and industrial plants through a trading mechanism for emission certificates.,see accompanying report,"Regulatory, Voluntary/ negotiated agreement, Fiscal, Economic",Cross-cutting: EU ETS directive 2003/87/EC as amended by Directive 2008/101/EC and Directive 2009/29/EC,,,Cross-cutting: EU ETS directive 2003/87/EC as amended by Directive 2008/101/EC and Directive 2009/29/EC,CO2,EU ETS,Energy supply,implemented,2005,2020,,"National government, Companies / businesses / industrial associations",,with existing measures (WEM),,Specific CO2 emissions of public and autoproducer power plants (Transformation B0),,,,,,,,,,,,,,,,,,,,,yes,"interaction with all targeted sectors, e.g. industry, transport (aviation), and the whole energy sector",results also in decreasing air pollution,,,OK,
AT-ENS-002,AT,Austria,02_EN,Green Electricity Act,"The expansion targets for 2020 for renewables are +2400 MW, the share of renewables in electricity consumption from the public grid shall rise to 15% by 2015","The Act not only addresses the main issues raised by the Directive, but serves to harmonize the system for promoting electricity production from renewable energy sources by granting fixed feed-in tariffs for various forms of biomass transformation and power production by wind, water, geothermal energy and photovoltaic.",Economic,Energy supply: RES Directive 2009/28/EC (repealing RES-E Directive 2001/77/EC and Biofuel Directive 2003/30/EC),Energy supply: Internal electricity market 2009/72/EC (repealing 2003/54/EC),Energy consumption: End-use efficiency and energy services 2006/32/EC repealing SAVE Directive (Directive 93/76/EEC),Energy supply: RES Directive 2009/28/EC (repealing RES-E Directive 2001/77/EC and Biofuel Directive 2003/30/EC); Energy supply: Internal electricity market 2009/72/EC (repealing 2003/54/EC); Energy consumption: End-use efficiency and energy services 2006/32/EC repealing SAVE Directive (Directive 93/76/EEC),CO2,"EU ETS, non EU ETS",Energy supply,implemented,2002,,Implementation: 2002/2012,National government,,with existing measures (WEM),,Specific CO2 emissions of public and autoproducer power plants (Transformation B0),412,,,421,,,,,,,,expert judgement,,,,,,,,,yes,"combined heat power Act, UFI fund, agricultural sector (biogas production)",results also in decreasing air pollution,,,OK,
AT-ENS-003,AT,Austria,03_EN,Consequences of the EU Water Framework Directive,The implementation of the EU Water Framework Directive led to a reduction of electricity production of small hydropower plants and run-off river power plants since 2011.,see accompanying report,"Regulatory, Voluntary/ negotiated agreement, Fiscal, Economic",Agriculture: Water Framework Directive 2000/60/EC,,,Agriculture: Water Framework Directive 2000/60/EC,CO2,"EU ETS, non EU ETS",Energy supply,implemented,2008,,,"National government, Companies / businesses / industrial associations",,with existing measures (WEM),,Specific CO2 emissions of public and autoproducer power plants (Transformation B0),-28,,,-28,,,,,,,,expert judgement,,,,,,,,,No,,support the water ecosystem,,,OK,
AT-ENU-001,AT,Austria,04_EN,Implementation of the National Energy Efficiency Action Plan 2011,Definition of target regarding the reduction of energy consumption ,see accompanying report,"Planning, Research, Education, Information, Regulatory, Voluntary/ negotiated agreement, Fiscal, Economic",Energy consumption: End-use efficiency and energy services 2006/32/EC repealing SAVE Directive (Directive 93/76/EEC),,,Energy consumption: End-use efficiency and energy services 2006/32/EC repealing SAVE Directive (Directive 93/76/EEC),CO2,non EU ETS,"Energy use -Industry / Construction, Energy supply",implemented,2009,2020,Implementation: 2009/2011,"National government, Regional entities, Local government, Companies / businesses / industrial associations",,with existing measures (WEM),,Specific CO2 emissions of public and autoproducer power plants (Transformation B0),,,,,,,,,,,,,,,,,,,,,yes,"influences also the building sector, and domestic energy consumption, the agricultural sector, transport sector, spatial planning",results also in decreasing air pollution,,,OK,
AT-ENS-004,AT,Austria,05_EN,Domestic Environmental Support Scheme (UFI) ,GHG relevant projects are funded for to increase energy efficiency and the use of renewables,see accompanying report,Economic,National policy not related to EU policies,,,National policy not related to EU policies,CO2,non EU ETS,Energy supply,implemented,1993,,,National government,,with existing measures (WEM),,"no specific indicator, as several sectors are concerned by this measure",300,,,250,,,,,,,,expert judgement,,,,,,,,,yes,"important funding for the sectors: buildings, energy production, transport",results also in decreasing air pollution and better environmental conditions,,,OK,
AT-ENS-005,AT,Austria,06_EN,Combined heat and power Act (CHP),"The main purpose of this Act is to increase energy efficiency and improve the security of supply. Therefore, a framework for the promotion and development of high efficiency cogeneration of heat and power has been created. New CHP plants are subsidized.",Promotion and increased CHP production in Austria. Implementation of the combined heat and power production Directive 2004/8/EC ,Economic,Energy supply: Combined Heat and Power (CHP) Directive Promotion of cogeneration 2004/8/EC,Energy supply: Internal electricity market 2009/72/EC (repealing 2003/54/EC),,Energy supply: Combined Heat and Power (CHP) Directive Promotion of cogeneration 2004/8/EC; Energy supply: Internal electricity market 2009/72/EC (repealing 2003/54/EC),CO2,"EU ETS, non EU ETS",Energy supply,expired,2008,2012,,"National government, Regional entities",,Not in projections,,Specific CO2 emissions of public and autoproducer power plants (Transformation B0),,,,,,,,,,,,,,,,,,,,,yes,"green electricity act, feed-in tariffs regulations, fi ncial support from UFI, but also industrial processes",results also in decreasing air pollution,,,OK,
AT-ENU-002,AT,Austria,07_EN,Energy efficiency Act draft 2012 ,"Efficiency of energy use in businesses and in the federal government shall be increased in a cost-effective way and contribute to energy savings in order to achieve the objectives defined in 2020 in Austria
",see accompanying report,"Regulatory, Voluntary/ negotiated agreement, Fiscal, Economic",Energy supply: RES Directive 2009/28/EC (repealing RES-E Directive 2001/77/EC and Biofuel Directive 2003/30/EC),Energy consumption: End-use efficiency and energy services 2006/32/EC repealing SAVE Directive (Directive 93/76/EEC),,Energy supply: RES Directive 2009/28/EC (repealing RES-E Directive 2001/77/EC and Biofuel Directive 2003/30/EC); Energy consumption: End-use efficiency and energy services 2006/32/EC repealing SAVE Directive (Directive 93/76/EEC),CO2,"EU ETS, non EU ETS","Energy use -Industry / Construction, Energy supply",planned,2013,,,"National government, Companies / businesses / industrial associations",,with additional measures (WAM),,final energy consumption,,,,150,,,,,,,,BMLFUW (2013),,,,,,,,,yes,"CHP act, district heating,  tio l energy efficiency action plan",results also in decreasing air pollution,,,OK,
AT-ENS-006,AT,Austria,08_EN,Green Electricity Act - beyond 2020,"supporting green electricity also beyond 2020, especially wind power and photovoltaic installations",see accompanying report,Economic,Energy supply: RES Directive 2009/28/EC (repealing RES-E Directive 2001/77/EC and Biofuel Directive 2003/30/EC),,,Energy supply: RES Directive 2009/28/EC (repealing RES-E Directive 2001/77/EC and Biofuel Directive 2003/30/EC),CO2,"EU ETS, non EU ETS",Energy supply,planned,2013,2030,,National government,,with additional measures (WAM),,Specific CO2 emissions of public and autoproducer power plants (Transformation B0),,,,,,,,,,,,,,,,,,,,,yes,"combined heat power Act, UFI fund, agricultural sector (biogas production)",results also in decreasing air pollution,,,OK,
AT-ENS-007,AT,Austria,09_EN,Research Initiative for industrial processes and pilot plants,funding projects which aim at increasing technological progress in terms of moving towards a low-carbon economy,see accompanying report,"Research, Education, Information, Regulatory, Voluntary/ negotiated agreement, Fiscal, Economic",National policy not related to EU policies,,,National policy not related to EU policies,CO2,non EU ETS,Energy supply,planned,2012,2013,,Research institutions,,Not in projections,,NA,,,,,,,,,,,,expert judgement,,,,,,,,,yes,industrial processes,NA,,,OK,
